"id","resources_id","tags_id"
3,2,1
4,2,2
5,2,3
6,3,2
7,3,4
8,3,5
9,3,6
10,4,6
11,4,7
12,4,8
13,4,9
14,4,10
15,4,11
16,4,12
17,5,2
18,5,13
19,5,14
20,5,15
21,5,16
22,6,6
23,6,17
24,6,18
25,6,19
26,6,20
27,7,16
28,7,13
29,7,14
30,7,15
31,8,1
32,8,2
33,8,26
34,8,27
35,8,28
36,8,29
37,9,32
38,9,13
39,9,16
40,9,21
41,9,23
42,9,24
43,9,30
44,9,31
45,10,34
46,10,35
47,10,36
48,11,38
49,11,39
50,11,40
51,11,41
52,11,42
53,12,4
54,12,44
55,12,47
56,12,17
57,12,18
58,12,19
59,12,20
60,13,2
61,13,3
62,13,43
63,13,56
64,13,57
65,14,66
66,14,4
67,14,6
68,14,44
69,14,78
70,14,86
71,14,58
72,15,1
73,15,104
74,15,11
75,15,12
76,15,114
77,15,115
78,15,116
79,15,60
80,38,96
81,38,171
82,38,14
83,38,15
84,38,48
85,38,179
86,38,180
87,38,21
88,38,95
89,37,8
90,37,9
91,37,10
92,37,114
93,37,115
94,37,116
95,37,87
96,9,188
97,36,170
98,36,142
99,36,143
100,36,212
101,36,84
102,36,213
103,35,2
104,35,130
105,35,81
106,35,82
107,35,83
108,34,198
109,34,199
110,34,234
111,34,235
112,34,173
113,34,239
114,34,211
115,34,245
116,16,68
117,16,69
118,16,71
119,16,72
120,16,16
121,16,48
122,16,244
123,16,21
124,16,22
125,16,23
126,16,24
127,24,1
128,24,2
129,24,3
130,24,56
131,24,57
132,24,252
133,33,39
134,33,40
135,33,41
136,33,42
137,33,52
138,33,53
139,33,54
140,33,87
141,33,88
142,25,4
143,25,5
144,25,6
145,25,260
146,25,17
147,25,18
148,25,19
149,25,20
150,25,91
151,25,92
152,25,93
153,25,94
154,26,192
155,26,1
156,26,193
157,26,194
158,26,7
159,26,8
160,26,9
161,26,10
162,26,11
163,26,12
164,26,114
165,26,115
166,26,116
167,26,210
168,26,25
169,26,123
170,26,60
171,30,261
172,30,70
173,30,71
174,30,72
175,30,262
176,30,263
177,30,177
178,30,178
179,30,179
180,30,180
181,30,151
182,30,152
183,30,153
184,30,124
185,29,67
186,29,68
187,29,261
188,29,70
189,29,71
190,29,72
191,29,262
192,29,263
193,29,13
194,29,21
195,29,22
196,29,23
197,29,24
198,27,261
199,27,262
200,27,263
201,27,13
202,27,14
203,27,15
204,27,16
205,27,179
206,27,180
207,27,244
208,27,220
209,28,64
210,28,66
211,28,5
212,28,198
213,28,199
214,28,78
215,28,17
216,28,18
217,28,19
218,28,20
219,28,94
